ID	Result	NatureCode
2017-000815	1	331
2017-000816	11	321
2017-000817	1	324
2017-000818	1	520
2017-000819	1	322
2017-000820	11	321
2017-000821	1	324
2017-000822	11	321
2017-000823	11	321
2017-000824	11	321
2017-000825	1	741
2017-000826	11	321
2017-000827	11	321
2017-000828	11	321
2017-000829	1	324
2017-000830	10	311
2017-000831	1	324
2017-000832	1	324
2017-000833	1	324
2017-000834	11	321
2017-000835	11	321
2017-000836	10	311
2017-000837	1	324
2017-000838	11	321
2017-000839	11	321
2017-000840	1	143
2017-000841	10	311
2017-000842	11	321
2017-000843	1	324
2017-000844	11	321
2017-000845	11	321
2017-000846	11	321
2017-000847	11	321
2017-000848	1	621
2017-000849	1	735
2017-000850	1	745
2017-000851	1	353
2017-000852	1	131
2017-000853	10	311
2017-000854	11	321
2017-000855	1	412
2017-000856	11	321
2017-000857	10	311
2017-000858	11	321
2017-000859	1	611
2017-000860	1	130
2017-000861	11	321
2017-000862	1	324
2017-000863	1	322
2017-000864	1	411
2017-000865	10	300
2017-000866	1	745
2017-000867	11	321
2017-000868	1	743
2017-000869	1010	321
2017-000870	1	740
2017-000871	1	324
2017-000872	11	321
2017-000873	10	311
2017-000874	10	300
2017-000875	1	611
2017-000876	11	321
2017-000877	1	611
2017-000878	1	324
2017-000879	1	251
2017-000880	10	311
2017-000881	11	321
2017-000882	1	743
2017-000883	10	300
2017-000884	11	321
2017-000885	10	311
2017-000886	1	554
2017-000887	1	551
2017-000888	11	321
2017-000889	1	611
2017-000890	10	311
2017-000891	1	324
2017-000892	1	324
2017-000893	1	611
2017-000894	11	321
2017-000895	11	321
2017-000896	1	324
2017-000897	11	321
2017-000898	11	321
2017-000899	1	611
2017-000900	11	321
2017-000901	1	412
2017-000902	11	321
2017-000903	1	324
2017-000904	1	331
2017-000905	1	324
2017-000906	1	600
2017-000907	1	142
2017-000908	10	300
2017-000909	1	324
2017-000910	1	600
2017-000911	10	300
2017-000912	1	743
2017-000913	11	321
2017-000914	11	321
2017-000915	1	600
2017-000916	11	321
2017-000917	11	321
2017-000918	1	611
2017-000919	11	321
2017-000920	1	323
2017-000921	1	324
2017-000922	11	321
