ID	Result	NatureCode
2017-009598	1	745
2017-009599	1	611
2017-009600	1	746
2017-009601	1	600
2017-009602	1	611
2017-009603	11	321
2017-009604	1	700
2017-009605	1	600
2017-009606	1000	411
2017-009607	11	321
2017-009608	10	300
2017-009609	1	733
2017-009610	10	311
2017-009611	1	743
2017-009612	10	311
2017-009613	10	311
2017-009614	11	321
2017-009615	11	321
2017-009616	1	552
2017-009617	11	321
2017-009618	11	321
2017-009619	1	730
2017-009620	1	735
2017-009621	1	400
2017-009622	1	324
2017-009623	1	324
2017-009624	11	321
2017-009625	1	550
2017-009626	1	324
2017-009627	11	321
2017-009628	1	600
2017-009629	11	321
2017-009630	1	744
2017-009631	1	611
2017-009632	11	321
2017-009633	1	324
2017-009634	10	311
2017-009635	1	611
2017-009636	1	324
2017-009637	1	730
2017-009638	10	300
2017-009639	11	321
2017-009640	11	321
2017-009641	10	311
2017-009642	1	622
2017-009643	11	321
2017-009644	1	611
2017-009645	11	321
2017-009646	10	311
2017-009647	1	324
2017-009648	1	324
2017-009649	10	311
2017-009650	1	324
2017-009651	10	300
2017-009652	1	740
2017-009653	1	323
2017-009654	11	321
2017-009655	1	733
2017-009656	11	321
2017-009657	1	324
2017-009658	11	321
2017-009659	11	321
2017-009660	11	321
2017-009661	11	321
2017-009662	1113	111
2017-009663	1	611
2017-009664	1	324
2017-009665	10	311
2017-009666	1	611
2017-009667	10	311
2017-009668	1	611
2017-009669	1	324
2017-009670	1	733
2017-009671	11	321
2017-009672	1	600
2017-009673	11	321
2017-009674	10	300
2017-009675	1	611
2017-009676	1	323
2017-009677	1	324
2017-009678	11	321
2017-009679	1	744
2017-009680	11	321
2017-009681	1	745
2017-009682	11	321
2017-009683	11	321
2017-009684	11	321
2017-009685	11	321
2017-009686	11	321
2017-009687	11	321
2017-009688	1	324
2017-009689	11	321
2017-009690	10	311
2017-009691	11	321
2017-009692	1	324
2017-009693	1	324
2017-009694	1	412
2017-009695	1	611
2017-009696	1	353
2017-009697	1	324
2017-009698	10	300
2017-009699	1	324
2017-009700	1	324
2017-009701	1	463
2017-009702	1000	324
2017-009703	1	324
2017-009704	1000	324
2017-009705	1	324
2017-009706	10	311
2017-009707	1	324
2017-009708	1	324
2017-009709	11	321
2017-009710	1	553
2017-009711	1000	600
2017-009712	1	352
2017-009713	11	321
2017-009714	1000	500
2017-009715	11	321
2017-009716	11	321
2017-009717	10	300
2017-009718	1	531
2017-009719	11	321
2017-009720	1	745
2017-009721	10	311
2017-009722	1	324
2017-009723	10	311
2017-009724	11	321
2017-009725	1	611
2017-009726	11	321
2017-009727	10	300
2017-009728	1000	324
2017-009729	1	324
2017-009730	1	700
2017-009731	1	324
2017-009732	1	611
2017-009733	1	531
2017-009734	10	300
2017-009735	11	321
2017-009736	1	322
2017-009737	1	324
2017-009738	11	321
2017-009739	10	311
2017-009740	10	311
2017-009741	1	324
2017-009742	10	311
2017-009743	11	321
2017-009744	1	611
2017-009745	11	321
2017-009746	1	324
2017-009747	1	142
2017-009748	1	322
A NORTHEAST 42ND AVENUE"	0	300
2017-009750	1	651
2017-009751	11	321
2017-009752	1	600
2017-009753	11	321
2017-009754	10	300
2017-009755	1	324
2017-009756	11	321
2017-009757	11	321
2017-009758	1	322
2017-009759	1	324
2017-009760	1	324
2017-009761	11	321
2017-009762	1	324
2017-009763	1000	151
2017-009764	11	321
2017-009765	1	611
2017-009766	1	743
2017-009767	11	321
2017-009768	11	321
2017-009769	11	321
2017-009770	11	321
2017-009771	1000	500
2017-009772	11	321
2017-009773	11	321
2017-009774	1	324
2017-009775	11	321
2017-009776	1	600
2017-009777	10	300
2017-009778	10	300
2017-009779	1	324
2017-009780	1	611
2017-009781	11	321
2017-009782	1	322
2017-009783	11	321
2017-009784	1	611
2017-009785	1	611
2017-009786	10	311
2017-009787	1	116
2017-009788	11	321
2017-009789	11	321
2017-009790	1	324
2017-009791	11	321
2017-009792	10	311
2017-009793	11	321
2017-009794	1	551
2017-009795	1	511
2017-009796	10	311
2017-009797	1	745
2017-009798	11	321
2017-009799	11	321
2017-009800	1	743
2017-009801	1	324
2017-009802	10	300
2017-009803	1000	463
2017-009804	1	131
2017-009805	10	300
2017-009806	1	611
2017-009807	11	321
2017-009808	1	323
2017-009809	11	321
2017-009810	10	311
2017-009811	1	324
2017-009812	11	321
2017-009813	1	511
2017-009814	1	531
2017-009815	1	735
2017-009816	1	324
2017-009817	10	311
2017-009818	1	622
2017-009819	11	321
2017-009820	11	321
2017-009821	1	611
2017-009822	1	600
2017-009823	1	324
2017-009824	1	611
2017-009825	1	412
2017-009826	1	600
2017-009827	10	311
2017-009828	10	311
2017-009829	11	321
2017-009830	10	300
2017-009831	1	324
2017-009832	1	322
2017-009833	11	321
2017-009834	1	324
2017-009835	1	733
2017-009836	11	321
2017-009837	1	600
2017-009838	1	611
2017-009839	10	300
2017-009840	1	611
2017-009841	1	440
2017-009842	11	321
2017-009843	1	324
2017-009844	1	600
2017-009845	1	324
2017-009846	1	322
2017-009847	11	321
2017-009848	10	311
2017-009849	1	511
2017-009850	11	321
2017-009851	1	324
2017-009852	1000	733
2017-009853	1	324
2017-009854	1	324
2017-009855	1	324
2017-009856	10	311
2017-009857	1	744
2017-009858	10	311
2017-009859	1	600
2017-009860	11	321
2017-009861	1	324
2017-009862	10	311
2017-009863	1	324
2017-009864	11	321
2017-009865	11	321
2017-009866	1	324
2017-009867	1	324
2017-009868	1	622
2017-009869	11	321
2017-009870	1	324
2017-009871	1	324
2017-009872	1	324
2017-009873	11	321
2017-009874	10	300
2017-009875	1	746
